Analysis/analysis-ori-outdoor-s2-00001.csv
""
Files/Channels,Normal,GrayScale,Blue,Green,Red
Alin_Day1_003 00001.jpg,0.06924853584796246,0.377816769008632,0.2556069588429222,0.3377308166552335,0.34240767066118677
Alin_Day1_003 00040.jpg,0.061748946609034974,0.23216796115257074,0.14541573121903464,0.21794941650678595,0.42870088267465145
Alin_Day1_003 00080.jpg,0.07572939934037702,0.531896178494682,0.46951380390855413,0.5069604926190857,0.4331605306021546
Alin_Day1_003 00242.jpg,0.04933024606829568,0.5947937741698162,0.464364805230374,0.6871451414754929,0.3300635274121077
Alin_Day1_003 00359.jpg,0.060809729617045914,0.7707228696699171,0.26883272359636096,0.561084679173887,0.49958731689693503
Alin_Day1_003 00460.jpg,0.045589655343853876,0.4515956614038916,-0.037149264162566434,0.30907025365501317,0.29074402555941853
Alin_Day1_003 00535.jpg,0.07055948438602226,0.6746381829533534,0.19968166508354282,0.3700281678591718,0.31021489353518267
Alin_Day1_003 00775.jpg,0.11722861579594808,0.6171581356271071,0.5430841257963857,0.5683860448509181,0.7340737383879975
Alin_Day1_003 01074.jpg,0.06728053433211599,0.36813309414061757,0.36535380687296587,0.469891743789343,0.29509920711819704
Alin_Day1_003 01218.jpg,0.031399814966425695,0.34454492400455483,-0.006299327442366062,0.36161771322672986,0.23594777061736394
Alin_Day1_003 01347.jpg,0.041842077292268805,-0.06396740031877311,-0.2527157271445977,-0.16681577499980563,-0.00862559750075217
Alin_Day1_003 01596.jpg,0.05142056505957421,0.4114442237216563,-0.16145729064107417,0.13015282478708773,0.23877185481548127
Alin_Day1_003 02162.jpg,0.04785314226394177,-0.10638393972052372,-0.15113787930356815,-0.12224835201295868,-0.13441386542823797
Alin_Day1_003 02314.jpg,0.03267438668900102,-0.055961237942290916,0.012190021128857847,0.055007807147138627,-0.1848940183160681
Alin_Day1_003 02468.jpg,0.06336572736878002,-0.13220575688308553,-0.20984738257632105,-0.1206328828137832,-0.030351139886142357
Alin_Day1_003 02629.jpg,0.06977339814161251,0.24507942102565758,0.10153060037487609,0.21384950197580982,0.21324641929033605
Alin_Day1_003 02818.jpg,0.05134199216142101,0.6733268556678164,0.19527284967281766,0.5174959545010559,0.3589293182639865
Alin_Day1_003 03007.jpg,0.03975988489586958,0.02687535975601613,-0.0032878697192791225,0.048121283065233146,-0.062445938142836055
Alin_Day1_003 03026.jpg,0.061920678978383374,0.48959882449135583,0.03245690353456327,0.33194054253649186,0.26255973567870605
Alin_Day1_003 03275.jpg,0.039397250706107,0.4417842356191379,0.026613033975825852,0.19241394111728544,0.34866492741992083
