Analysis/analysis-ori-laboratory-s1-00174.csv
""
Files/Channels,Normal,GrayScale,Blue,Green,Red
Alin_Day1_003 00001.jpg,0.17806190735734637,0.654911456387421,0.5027599085465853,0.5633314147027109,0.7390127690851385
Alin_Day1_003 00040.jpg,0.1864651980139844,0.6084076319628566,0.44257825260327766,0.5859254768754741,0.6499224492180035
Alin_Day1_003 00080.jpg,0.14991219951038673,0.7284891196097507,0.5416364997651383,0.552931133669521,0.7315717781481381
Alin_Day1_003 00242.jpg,0.07270071914378626,0.7123738132033997,0.4897278239625567,0.47538284204506004,0.5781535301553221
Alin_Day1_003 00359.jpg,0.06942021824834861,0.7504314920686803,0.4532361987176862,0.3268018161350388,0.6830501945738796
Alin_Day1_003 00460.jpg,0.08639229534651152,0.5575933979467937,0.3561466290974202,0.2812456755019646,0.6106213005223768
Alin_Day1_003 00535.jpg,0.09126793554372507,0.5838518894374487,0.519310302532511,0.22060995093026028,0.6279882580184081
Alin_Day1_003 00775.jpg,0.10592326771542503,0.44585320806402595,0.4721782395934658,0.2875776578942286,0.391595112559355
Alin_Day1_003 01074.jpg,0.12757954718100192,0.6278422207077349,0.5317860901832964,0.6087539824491588,0.597745323511648
Alin_Day1_003 01218.jpg,0.10508767247723969,0.5935289155074016,0.3742746219406906,0.43494251836224085,0.43714747027575146
Alin_Day1_003 01347.jpg,0.1376776626207525,0.18344984164374928,0.3592761961859845,0.21490013217346232,0.17749588688797485
Alin_Day1_003 01596.jpg,0.15403651518191824,0.4571942381612273,0.2582008831960909,0.12292402670504865,0.5784246169207278
Alin_Day1_003 02162.jpg,0.10878167079552327,0.10069138752546984,0.4627261402933802,0.282696553842425,-0.02722948710692243
Alin_Day1_003 02314.jpg,0.09140573383962021,0.08646210192072766,0.17589883153596003,0.18623176350637263,0.08300312826233554
Alin_Day1_003 02468.jpg,0.09681926935332022,0.16890574161958344,0.3881062399491551,0.3132681970131574,0.11690075638326232
Alin_Day1_003 02629.jpg,0.16296168412159784,0.3415189072540461,0.5557734119948292,0.36143486284679066,0.13255720698849907
Alin_Day1_003 02818.jpg,0.07321458312715096,0.5606072434922234,0.36033899881069364,0.2330940717255748,0.6861444510278203
Alin_Day1_003 03007.jpg,0.14230407520343868,0.19295065593750146,0.5361287300400447,0.3181431600392548,0.17023492080178496
Alin_Day1_003 03026.jpg,0.11222151247277812,0.402442946981511,0.22920692753872665,0.19738919395420468,0.4187573858952808
Alin_Day1_003 03275.jpg,0.0718030938532511,0.3535258375644868,0.3481175079230335,0.14157866846886374,0.49824071956418325
Alin_Day1_003 03713.jpg,0.01645714270954857,0.32795599458696056,0.31314143363128827,0.001945855146796556,0.6649720334078485
Alin_Day1_003 04035.jpg,0.14024081942715283,0.4017926969304029,0.6782021319066974,0.4395293676462052,0.42671176142721806
Alin_Day1_003 05060.jpg,0.3266988648943367,0.461465391727798,0.6222673274628283,0.586521363161385,0.2540613511413656
Alin_Day1_003 05554.jpg,0.1618802146941165,0.021344930477843548,0.39767268043142723,0.18390898751022275,-0.0976376457719033
Alin_Day1_003 10167.jpg,0.28289368947814497,0.6381322106393116,0.5032364837663137,0.485587744955334,0.19395951901592584
Alin_Day1_003 13137.jpg,0.05160963247412967,0.5683570028736595,0.6794463876302385,0.21070536482573785,-0.031186524888892772
Alin_Day1_003 14802.jpg,0.2001319181256624,0.38976636000438064,0.46064975396156543,0.41411736375600444,0.305237075004929
Alin_Day1_003 15348.jpg,0.05736410412337754,0.37105864541794153,0.32379943065290595,0.25101562914987663,-0.04039107177630889
Alin_Day1_003 15411.jpg,0.14865548198681208,0.29676354937940075,0.5167867556415107,0.3141311328665603,-0.05289936032794873
Alin_Day1_003 15866.jpg,0.13171566965360884,0.3841384407335078,0.5454183493974913,0.31127550653254965,0.20680604836848954
Alin_Day1_003 16123.jpg,0.0939814354405211,0.7833599706727293,0.5685552280893188,0.5474007570449181,0.36166195497654235
Alin_Day1_003 16176.jpg,0.08515289166907739,0.20706494559855318,0.5872332088724491,0.2250724910419826,-0.13834560952777872
Alin_Day1_003 16715.jpg,0.03931160196338635,0.35712302220373005,0.49061822059088583,0.3438532278801785,-0.04247283212006637
Alin_Day1_003 17157.jpg,0.09020567386185294,0.42643614207727104,0.5354373355820751,0.17491793925355303,0.08861863902817622
Alin_Day1_003 17734.jpg,0.009328279960320656,0.0029116598931796887,0.06448193340479784,0.005829434040465146,-0.025486789429174612
Alin_Day1_003 22033.jpg,0.005728897192106091,-0.12009911723938181,-0.012733562262390146,-0.048685938320005624,-0.1764118391335465
Alin_Day1_003 31960.jpg,0.009971911695756668,-0.0884477625330918,0.12552559102034394,-0.03119430104431096,-0.2966151848004767
cofee-s1-00186.jpg,0.08803325969190015,0.2650190128220165,0.1755150111600616,0.02474690593152021,-0.12416606840994199
cofee-s1-00476.jpg,0.0855192888140576,0.11510062442721565,0.17543189536362946,0.0019264465482971265,-0.19880330190545592
cofee-s2-01724.jpg,0.10559572962979644,0.2174727215456461,0.19508917918307397,0.0840891310313143,-0.1066187578982645
cofee-s2-01735.jpg,0.08962333368408065,0.18599731399054614,0.172934944891933,0.05243955791855412,-0.12216046692354328
cofee-s2-01796.jpg,0.09784908798118758,0.19756676717243296,0.19972690774665644,0.059884799683768905,-0.12874709983444316
cofee-s3-02577.jpg,0.0877259531803246,0.009865078525704169,0.3025829311938128,0.12152005653634217,-0.1062433824958741
cofee-s3-02626.jpg,0.07655531889625018,0.061208198933881776,0.29959473065276376,0.1722290092719189,-0.08107432232053871
cofee-s3-02731.jpg,0.08125223761077979,0.019228808403840423,0.28343976079918587,0.12808962797193538,-0.07974498351452722
cofee-s3-02879.jpg,0.08147748948043214,0.10303713254644725,0.3324357360681122,0.24010610148253797,-0.153836060586547
laboratory-s1-00012.jpg,0.6686682796889483,0.8563378623599388,0.911403280808632,0.8290291903267244,0.9091452067518349
laboratory-s1-00174.jpg,0.9998364494967826,0.9999970992535011,0.9999907066903977,0.9999842819341765,0.9999715598389955
laboratory-s2-00019.jpg,0.2431961504280883,0.3845399545594273,0.574576820467803,0.283544747874349,0.6945293591715781
laboratory-s2-00077.jpg,0.680212140565325,0.7840260718793965,0.9196915480868881,0.7807195530018238,0.8309613341890547
laboratory-s2-00213.jpg,0.3249862300202776,0.47122485676993275,0.6387924005043968,0.37205572856381974,0.7458405370650001
laboratory-s3-00000.jpg,0.6043240397917085,0.7621146507909013,0.9284687667352963,0.8525315074097932,0.8320848616408507
laboratory-s3-00155.jpg,0.5761318166541454,0.79328484066362,0.9295143714682296,0.8285342610498304,0.862587138448521
laboratory-s3-00278.jpg,0.4893943398604003,0.653695253479018,0.7488237635350814,0.5935063416154395,0.8565287496154287
laboratory-s3-00385.jpg,0.5649269070117235,0.6087713725128229,0.769934191037564,0.6099102621490811,0.793001445603493
outdoor-s1-00701.jpg,0.2905846660226682,0.5694142499522978,0.632422988694881,0.48666005622685815,0.020315789913295093
outdoor-s1-00748.jpg,0.16570088918556242,0.389458605721904,0.47594662164317375,0.14927786290181966,0.5222841274149919
outdoor-s1-00799.jpg,0.2515870616412535,0.5649365265782155,0.6715835052838162,0.3794755973280734,0.2521309348731447
