Analysis/analysis-ori-Alin_Day1_003 03026.csv
""
Files/Channels,Normal,GrayScale,Blue,Green,Red
Alin_Day1_003 00001.jpg,0.23048152148957946,0.574091086085684,0.715482935710668,0.6312579110893055,0.44218846311603077
Alin_Day1_003 00040.jpg,0.18186637601674335,0.17977755180903837,0.18914378768456688,0.13568244831189613,0.37819112717500697
Alin_Day1_003 00080.jpg,0.19559974942504235,0.29129670116058826,0.17387878585313937,0.28389034817877457,0.5844922157879936
Alin_Day1_003 00242.jpg,0.15026189228929326,0.46131250624062126,0.6198304289171422,0.6278980421923879,0.12459479506665531
Alin_Day1_003 00359.jpg,0.1485857844516933,0.631547101921442,0.7110631909917173,0.6672722561972012,0.25068656095343034
Alin_Day1_003 00460.jpg,0.21672107499592744,0.22913928210080117,0.30859763513217714,0.24922159756840326,0.07423579261310642
Alin_Day1_003 00535.jpg,0.20598000536206348,0.5102168487621572,0.6096319262554348,0.44126416754257486,0.4772154506680781
Alin_Day1_003 00775.jpg,0.23159407757966533,0.558883727982265,0.5084700067176889,0.573027435255529,0.3578295556801848
Alin_Day1_003 01074.jpg,0.2540296915263662,0.44021720714048396,0.736997559862214,0.5443823709598684,0.3270152754763979
Alin_Day1_003 01218.jpg,0.23348084142198575,0.5909098727634068,0.8433677652699693,0.6951494830580748,0.27240483528453246
Alin_Day1_003 01347.jpg,0.16310945304797922,0.1629498146624445,0.42664255261191225,0.13473080532102072,0.19208847906220106
Alin_Day1_003 01596.jpg,0.2726330149014674,0.5881108928017276,0.6100850703143892,0.523777049685181,0.6353538039609505
Alin_Day1_003 02162.jpg,0.13783815141328054,-0.1494570144368808,-0.001073696705267293,-0.1704671867831916,-0.2555482732588539
Alin_Day1_003 02314.jpg,0.3022465756680316,0.09758837310374394,0.29039732963821735,0.11571885811420651,0.06720980725802024
Alin_Day1_003 02468.jpg,0.20797051357217974,-0.037858933639938634,0.11723890608262527,-0.04684480490439253,0.10165251705412602
Alin_Day1_003 02629.jpg,0.1344038080135135,-0.046910891954631204,0.1209976097205753,-0.07642421050699208,0.3840394400512176
Alin_Day1_003 02818.jpg,0.4492833566694212,0.8619427301643849,0.8653916279483199,0.884923597102313,0.7398351153991259
Alin_Day1_003 03007.jpg,0.22578067803357638,0.06337356760579214,0.12919755025459218,0.05968177220672962,0.062069959539597624
Alin_Day1_003 03026.jpg,0.9998707288681402,0.9999986565210025,0.9999850825083558,0.9999958237451291,0.9999917892452074
Alin_Day1_003 03275.jpg,0.47531286095532704,0.7522714652991591,0.8524851467158433,0.7426358368140177,0.698990457754259
Alin_Day1_003 03713.jpg,0.08905279595647338,0.508572106627776,0.5928963687989267,0.3628040765057218,0.6440516849813545
Alin_Day1_003 04035.jpg,0.24498592572273792,0.3336304619793442,0.38229151163424335,0.3128008880927378,0.3140616047456105
Alin_Day1_003 05060.jpg,0.2092150651622494,0.11199441020682681,0.2505520071875418,0.09885192698994669,0.2709650911290078
Alin_Day1_003 05554.jpg,0.25265279899834436,0.08115741077732466,0.2686471002430623,0.08885745177496152,-0.026656515505916665
Alin_Day1_003 10167.jpg,0.18515242502287815,0.2279513518603762,0.3049027256462606,0.29072840259208454,0.18570734292556426
Alin_Day1_003 13137.jpg,0.10058853562325773,0.3907120004155,0.12140400522990437,0.4034749203981461,0.009170193427191511
Alin_Day1_003 14802.jpg,0.1072061021745447,0.03791093588755256,0.2323169561193091,0.03191683477958506,0.09452312790389723
Alin_Day1_003 15348.jpg,0.05184036723840203,0.3627074007197236,0.3269073317210404,0.32551650620050504,0.03628981132262517
Alin_Day1_003 15411.jpg,0.06739469720947079,0.04276475936427619,0.42141888191478527,0.11679774955389301,-0.13740658867902794
Alin_Day1_003 15866.jpg,0.1163956472255993,0.03143593023657076,0.2813876869661352,0.030195214445194955,0.08491654203583117
Alin_Day1_003 16123.jpg,0.1000631443854641,0.317168922167626,0.1380693413910319,0.22225331302496007,0.3458854661598287
Alin_Day1_003 16176.jpg,0.06776122912967637,0.00779704650892377,0.17031485812665526,-0.020386632495416467,-0.16306644178912777
Alin_Day1_003 16715.jpg,0.03923680696647832,0.14339559516989783,0.10219149147255269,0.1098426744685,-0.023721028846934243
Alin_Day1_003 17157.jpg,0.12275221026833154,0.3120238600125811,-0.07075745343605216,0.30261665517444863,0.02201033554212472
Alin_Day1_003 17734.jpg,0.0045763421785891215,-0.09672864253472117,-0.07204112636418517,-0.12272347128630656,-0.20859279142615844
Alin_Day1_003 22033.jpg,0.002195475797803153,-0.17364407647002328,-0.143453329977877,-0.1714880773317504,-0.2285150267712065
Alin_Day1_003 31960.jpg,0.007556220739506211,-0.23394761727726432,-0.08227022512581768,-0.21616139502550605,-0.3423740652980556
cofee-s1-00186.jpg,0.06001685541665558,-0.05766405885086864,0.11480805885329635,-0.02852789452000922,-0.173792157183159
cofee-s1-00476.jpg,0.05374857789563694,-0.19857465503845334,0.016147716668357046,-0.1674338771330271,-0.3076977991751418
cofee-s2-01724.jpg,0.06115295873295649,-0.06686585814207494,0.08957213663436833,-0.080366760764624,-0.16378465994869973
cofee-s2-01735.jpg,0.053708120941964595,-0.10128070132184616,0.0650488751032853,-0.1016826023473636,-0.2185702231069867
