Analysis/analysis-crop-Alin_Day1_003 16176.csv
""
Files/Channels,Normal,GrayScale,Blue,Green,Red
Alin_Day1_003 00001.jpg,0.10378270905364596,-0.24754483366736646,0.2155243546690471,-0.24017819655288558,-0.3181843489971516
Alin_Day1_003 00040.jpg,0.1674987418305483,0.10004918296512545,0.022274932054393078,0.11461262813209531,-0.03673602496206423
Alin_Day1_003 00080.jpg,0.20303100557332268,0.1934776378094595,0.08528749124663092,0.19727616806579198,0.12917332582294258
Alin_Day1_003 00242.jpg,0.10318453203619768,0.024505878776678154,0.10410756171506012,-0.01719536544056157,-0.10343596681336348
Alin_Day1_003 00359.jpg,0.12275365985485569,-0.044766052254054334,0.1850531837179034,-0.024963410657768383,-0.07501233324228598
Alin_Day1_003 00460.jpg,0.04932221466083095,-0.35049557485767946,-0.3929922825323942,-0.3324878471381138,-0.2424951909529994
Alin_Day1_003 00535.jpg,0.0676462112384609,-0.2726765182905436,-0.09000968042829807,-0.2242622055607494,-0.1411904478651328
Alin_Day1_003 00775.jpg,0.14847616307093733,0.14150608656160982,0.22039868267423024,0.1914350176642142,0.08364466972680128
Alin_Day1_003 01074.jpg,0.10027698028386314,-0.1092166251561309,0.19043264493532303,-0.1654093669062567,-0.20114207528199585
Alin_Day1_003 01218.jpg,0.07394694626440954,0.020175583176975008,0.26117344308558943,-0.0192888621037001,-0.17901862342446992
Alin_Day1_003 01347.jpg,0.09984424445250907,-0.06161156794166906,-0.13136927479843005,-0.09654253858466587,-0.07527307084751612
Alin_Day1_003 01596.jpg,0.10167920076051756,-0.16885285346581144,0.08158706802776991,-0.04737183405680288,-0.10290433931060142
Alin_Day1_003 02162.jpg,0.1486841518505475,0.058401916617662766,-0.27880873532905853,0.1276946581044697,0.19530489035734508
Alin_Day1_003 02314.jpg,0.10084338163090048,0.4658491515806864,0.17363053105006046,0.42886842533854014,0.40530911401443354
Alin_Day1_003 02468.jpg,0.11343419809142553,0.16637409648783122,-0.23429241447923052,0.12827795190682048,0.2872947909773656
Alin_Day1_003 02629.jpg,0.1200166671175114,-0.22591474745118456,-0.13039200836163872,-0.18102679112271447,-0.10808129827597762
Alin_Day1_003 02818.jpg,0.06682261961510487,-0.0726693763036526,0.25970631485559215,0.0015956790871549042,-0.17101714031580856
Alin_Day1_003 03007.jpg,0.08825057059983674,0.05492579722122783,-0.22681924100146839,0.01460186658492413,0.08381242315807987
Alin_Day1_003 03026.jpg,0.08695524589745746,0.024805038377711103,0.42094279878651863,0.07980376211389448,-0.028892963408380243
Alin_Day1_003 03275.jpg,0.04813289045796563,-0.15380841584013616,0.22358507364048466,-0.07587576948122637,-0.07245443227227635
Alin_Day1_003 03713.jpg,0.05024347099572836,-0.03164857461783984,0.10294787835645826,0.09711284126422141,0.0904534148429422
Alin_Day1_003 04035.jpg,0.05384215429877802,-0.19447890145044844,-0.23326259299043772,-0.1978763737905936,-0.11767386606007117
Alin_Day1_003 05060.jpg,0.15299070594754666,-0.2811713637663324,-0.39257833505055467,-0.33785848409128394,-0.17732919650140752
Alin_Day1_003 05554.jpg,0.1217554860401608,0.13897989842426123,-0.21265484554889158,0.05884863492283267,0.10964456247042646
Alin_Day1_003 10167.jpg,0.29919546464323654,-0.16156558464971052,0.014327996671476946,-0.16882052704549408,-0.17894572114148438
Alin_Day1_003 13137.jpg,0.3000749305020195,0.09761783933631377,-0.2769126983725109,0.04008514341530229,0.08328846465978186
Alin_Day1_003 14802.jpg,0.2150192282443627,-0.16192444548274484,-0.24222734302421556,-0.21973870007880542,-0.05906041514158219
Alin_Day1_003 15348.jpg,0.21040360756520463,0.5364969095792734,0.19067532996913572,0.5057989926753461,0.5679201459824136
Alin_Day1_003 15411.jpg,0.13357161419441166,-0.2742620188938197,-0.16668409005997817,-0.2956791535220858,-0.3466256702497826
Alin_Day1_003 15866.jpg,0.2577735306516544,-0.2526461162341364,-0.13750859348008537,-0.2707819855159998,-0.2500404576505805
Alin_Day1_003 16123.jpg,0.3123991284103675,-0.17202256583071918,-0.06532686658327036,-0.23266127461273656,-0.10760260398468532
Alin_Day1_003 16176.jpg,0.6988101932611447,0.24392786085070844,0.061575536345614024,0.20455665383156516,0.35861009791449505
Alin_Day1_003 16715.jpg,0.2499500665166834,0.343130483401844,-0.1225498436776382,-0.005032962034028289,0.43502604521095145
Alin_Day1_003 17157.jpg,0.21524065147572397,0.1732403268650638,0.04149070640177111,0.09356431645530953,0.15699461617859384
Alin_Day1_003 17734.jpg,0.026398684595756214,-0.2435633985768574,-0.37743151725680013,-0.2942397922953082,-0.2457556900616187
Alin_Day1_003 22033.jpg,0.005612883127788581,-0.28334652104649866,-0.38297068212508295,-0.2761439694275284,-0.2681760340119319
