Analysis/analysis-crop-outdoor-s2-00042.csv
""
Files/Channels,Normal,GrayScale,Blue,Green,Red
Alin_Day1_003 00001.jpg,0.1088027070577987,0.21577885067400907,0.1772514619572846,0.17065134503876433,0.21321722472783666
Alin_Day1_003 00040.jpg,0.10662843783071052,0.2824847043194951,0.2679858979022588,0.2232187679849371,0.37406048321403107
Alin_Day1_003 00080.jpg,0.15856761043398335,0.46426265390936344,0.450148576868379,0.4140526710998011,0.5207275923177659
Alin_Day1_003 00242.jpg,0.08122121158106345,0.41012283669000554,0.43215366248101217,0.38178909277045886,0.18220797187225488
Alin_Day1_003 00359.jpg,0.145970895226105,0.4880618643651192,0.47365737261099283,0.5153710501731265,0.29489416194395857
Alin_Day1_003 00460.jpg,0.07958248213919389,0.38900521766494256,0.2935716363734327,0.37327077808294723,0.20244847316666362
Alin_Day1_003 00535.jpg,0.09565148179136358,0.529546604813985,0.4654163001145009,0.50942535558632,0.39234117887125736
Alin_Day1_003 00775.jpg,0.13462438258089018,0.7079318251897345,0.6851392992487343,0.6230499462346046,0.7435252673858771
Alin_Day1_003 01074.jpg,0.10960775751944445,0.3266532468470102,0.28368735688170704,0.22293429396280623,0.053383923222719426
Alin_Day1_003 01218.jpg,0.06439791958059077,0.33535208640474135,0.23456210826512194,0.2280703912794272,0.0964481351782345
Alin_Day1_003 01347.jpg,0.06994432158111245,0.04918562860535741,-0.023676675483186426,-0.07113740438217767,0.11786296604080121
Alin_Day1_003 01596.jpg,0.09230738141069479,0.43610675204548865,0.26715832239509196,0.36838767766169384,0.4023045438408415
Alin_Day1_003 02162.jpg,0.06954098915295426,0.01415261999419437,-0.10479243979980565,-0.02487818471905932,0.0025268259684347273
Alin_Day1_003 02314.jpg,0.05752878392397319,0.019357162565781662,-0.1145526822969358,-0.08113885290152771,-0.12565184166479548
Alin_Day1_003 02468.jpg,0.07947940843559709,0.006828525944603391,-0.20914896984718803,-0.08099854814527092,0.13302147482130064
Alin_Day1_003 02629.jpg,0.1134283141228265,0.2732404298712316,0.2936691619429691,0.27978492289514906,0.3273065426448459
Alin_Day1_003 02818.jpg,0.0821027629234239,0.5427644554239159,0.40773036192968587,0.4621815825157823,0.3304018960055984
Alin_Day1_003 03007.jpg,0.061196518514208306,0.0515141684184361,0.007762575849904593,-0.013820202703860671,-0.01891394005668131
Alin_Day1_003 03026.jpg,0.08365508485636701,0.2887823600795253,0.24320254195105145,0.20595677919007563,0.302137377512559
Alin_Day1_003 03275.jpg,0.10132128409041104,0.37522056301927076,0.355049680607187,0.3336847565700007,0.4236300033356183
Alin_Day1_003 03713.jpg,0.09179166335339246,0.5479517598999487,0.6257099541279398,0.5088911364894404,0.5001530150955016
Alin_Day1_003 04035.jpg,0.08013068858576684,0.3420977033324773,0.22458614519011347,0.31485956655842956,0.39378887275320384
Alin_Day1_003 05060.jpg,0.11270306597187427,0.2607028978856557,0.11870647783864832,0.12922651312067635,0.29825454108446586
Alin_Day1_003 05554.jpg,0.05810532235549726,0.08059362858012202,-0.04218733458929129,0.028590543060438643,0.20576114786295285
Alin_Day1_003 10167.jpg,0.14322011271581983,0.45004030873037365,0.4088641921877831,0.4926366570813494,0.3931916114789491
Alin_Day1_003 13137.jpg,0.0953606881959241,0.8231761327848058,0.3578228234171389,0.6873271136735951,0.5970146102529735
Alin_Day1_003 14802.jpg,0.04771690782594109,0.13431596031794477,0.2058480985822235,0.15690031968286625,0.23435705294067768
Alin_Day1_003 15348.jpg,0.08122051972049885,0.6779269665702169,0.6395594900297232,0.6550807578318519,0.7445443555061344
Alin_Day1_003 15411.jpg,0.017432447980891393,0.24804274652188352,0.4156059081276554,0.3949029066627649,-0.06709145853054277
Alin_Day1_003 15866.jpg,0.1169344645584843,0.22717819138817197,0.39654953522472464,0.24736279024692132,0.041653993416078554
Alin_Day1_003 16123.jpg,0.16377649068102165,0.7166078157498846,0.5971977193930436,0.6561135696390864,0.7418908674484731
Alin_Day1_003 16176.jpg,0.08038603666548853,0.20102788318751424,0.3170297467208072,0.2570057635401437,0.2702532233813916
Alin_Day1_003 16715.jpg,0.07347406015403461,0.5943837050690273,0.4120113527931222,0.6115194967119286,0.6705819930799587
Alin_Day1_003 17157.jpg,0.10995391475226468,0.8733004803171607,0.5321187243173506,0.831004909958719,0.7149337618688982
Alin_Day1_003 17734.jpg,0.007773398455034572,0.0025642400372097246,0.015087933809538689,0.04337907301041614,-0.14191720225481239
Alin_Day1_003 22033.jpg,0.0033516733601274377,-0.14813709646588438,-0.14545998274161798,-0.12540416830574735,-0.16890519720007893
